"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:5baafd77721114ff75476339d2f8c884","https://www.natuurpunt.be/nieuws/taiwanese-rattenslang-plant-zich-voort-dankzij-microklimaat-20160707"
"ad-hoc-checklist:taxon:5d298713ad0df730898cf2be965a92f7","https://waarnemingen.be/waarneming/view/121300320"
"ad-hoc-checklist:taxon:5ed5b867a8767903a3eb635ce5321710","Van Keer K. & Van Keer, J., 2001. Ingeburgerde exotische trilspinnen (Araneae: Pholcidae) in de Antwerpse haven en enkele algemene bedenkingen bij spinnenmigratie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 16: 81-86."
"ad-hoc-checklist:taxon:5eda37e738d18fd515c0c8a8da9d4725","Versteirt et al. (2012) Bionomics of the Established Exotic Mosquito Species Aedes koreicus in Belgium, Europe. J. Med. Entomol. 49(6): 1226-1232; DOI: https://doi.org/10.1603/ME11170"
"ad-hoc-checklist:taxon:60536e5546cb065699987f24f80bcb84","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:612ebebbced1f2fde1b60708a6a4f11f","Kekenbosch, R. 2008. Captures d'Hasarius adansoni (Audoin, 1826) et de Thanatus vulgaris (Simon, 1870). Nieuwsbrief van de Belgische Arachnologische Vereniging, 23(1):26-27."
"ad-hoc-checklist:taxon:63898d0eef3dacae6d647f04b28c0a2c","Van Keer, K. & Van Keer, J. 2001. Ingeburgerde exotische trilspinnen (Araneae: Pholcidae) in Antwerpse haven en enkele algemene bedenkingen bij spinnenmigratie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 16(3):81-86."
"ad-hoc-checklist:taxon:6586255ef4fb8fe3ccd29b2ffeace005","Van Keer, J. 1992. Achaearanea veruculata (Urquhart, 1885): nieuw voor België of toevallige gast? Nieuwsbrief van de Belgische Arachnologische Vereniging, 8(1):21."
"ad-hoc-checklist:taxon:66a451fb2acbe5836cf1afbf8274e1b8","Dekoninck W, Pauly A., 2002, Camponotus vagus Scopoli, 1763 (Hymenoptera Formicidae) a new ant species for Belgium? Bulletin de la Société royale belge d'Entomologie; 138:29-30."
"ad-hoc-checklist:taxon:67b20a1a40c5e579f2d3fe9f5c8790fd","Vanherke, L. Hooiwagens in België – een overzicht. Nieuwsbr. Belg. Arachnol. Ver. (2010),25(2): 138 "
