"language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","taxonID","scientificName","kingdom","phylum","order","family","genus","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:fde72025a042e6ed23c1302dc83114f4","Meconema meridionale Costa & A., 1860","Animalia","Arthropoda","Orthoptera","Tettigoniidae","Meconema","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:de77f01b3fa727eced57d3cd4899466b","Gryllodes sigillatus (Walker & F., 1869)","Animalia","Arthropoda","Orthoptera","Gryllidae","Gryllodes","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:6e03c46a977ea6811bbca90d01a92bb6","Yersinella raymondii (Yersin, 1860)","Animalia","Arthropoda","Orthoptera","Tettigoniidae","Yersinella","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:02127ef216ec86a6df37669a0da367e8","Gryllomorpha dalmatina (Ocskay, 1832)","Animalia","Arthropoda","Orthoptera","Gryllidae","Gryllomorpha","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:9f818804cf4820a105305a9e87d16d64","Gryllus bimaculatus De Geer, 1773","Animalia","Arthropoda","Orthoptera","Gryllidae","Gryllus","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:b11e7d0c22ce4643b57552f968a5b36c","Tachycines asynamorus Adelung, 1902","Animalia","Arthropoda","Orthoptera","Rhaphidophoridae","Tachycines","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:24d4a2b0a38490cb84695fc57036b473","Eumodicogryllus bordigalensis (Latreille, 1804)","Animalia","Arthropoda","Orthoptera","Eumodicogryllus","Eumodicogryllus","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:f781020a3bca39bc00443963330a85b4","Vespa velutina Lepeletier, 1836","Animalia","Arthropoda","Hymenoptera","Vespidae","Vespa","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:4034d15d25704640fbd47e492335f4f1","Anoplophora chinensis (Forster, 1771)","Animalia","Arthropoda","Coleoptera","Cerambycidae","Anoplophora","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:292a4951cbdd8cc0118e5d53af1ed84e","Anoplophora glabripennis (Motschulsky, 1854)","Animalia","Arthropoda","Coleoptera","Cerambycidae","Anoplophora","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:88478f40930aef17317c6fd3da72d85d","Callidiellum rufipenne Niisato, 2007","Animalia","Arthropoda","Coleoptera","Cerambycidae","Callidiellum","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:1f9cad54e7aa98ae4a64a98a32adab3e","Fulvius subnittens","Animalia","Arthropoda",,,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:3a3104e2d80a0bedc6778c8595e9b3e3","Neuroctenus lestoni","Animalia","Arthropoda",,,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:8950c3e5fce034aa855b8e304d8e9ba0","Fulvius anthocoroides","Animalia","Arthropoda",,,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:fdb4e2d32ff94027329a96f5df3924bc","Cameraria ohridella Deschka & Dimic, 1986","Animalia","Arthropoda","Lepidoptera","Gracillariidae","Cameraria","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:e4fb7dbe7f0b6ccb043d7258b0fb764f","Cameraria gaultheriella (Walsingham, 1889)","Animalia","Arthropoda","Lepidoptera","Gracillariidae","Cameraria","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:183a5311d01a271639b3f6951ddf9bcb","Nicoletia phytophila Gervais, 1844","Animalia","Arthropoda","Zygentoma",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:9bda103d1eca12d0c913a9831925da85","Thermobia domestica","Animalia","Arthropoda","Zygentoma","Lepismatidae",,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:7ff57a1db71818f397c94f82bbfc6ab2","Ctenolepisma lineata","Animalia","Arthropoda","Zygentoma","Lepismatidae",,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:69026a56e42fa41725789b1f832d09ed","Euborellia annulipes (Dohrn, 1864)","Animalia","Arthropoda","Dermaptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:67330018311a9fdc2075b24c4fde541f","Hanseniella caldaria (Hansen, 1903)","Animalia","Arthropoda",,,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:4e2541dec2336eeec3a282c9334ee949","Aleurodothrips fasciapennis (Franklin 1908)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:62436bf1183beb101a2dfd7437c71783","Aurantothrips orchidaceus (Bagnall 1909)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:4e77e6119bb0e41685890f71f924c11c","Chaetanaphothrips orchidii (Moulton 1907)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:0dd3e2449fdc2910d308e6f56e22a8f0","Echinothrips americanus Morgan 1913","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:f09c56016ccab28e3f0602b0eac0b4da","Frankliniella occidentalis (Pergande 1895)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:86bd48e529effdadb17ae22c627a2cfc","Heliothrips haemorrhoidalis (Bouché 1833)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:d4a776a214729a3f11591a68aa900f87","Hercinothrips bicinctus (Bagnall 1919)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:846732b11003be3bd59d2a562e474115","Hercinothrips femoralis (O.M. Reuter 1891)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
