taxonID,description,type,language
ad-hoc-checklist:taxon:e9e2c06c197255f5b143056274086f56,Caribbean to Brazil,native range,en
ad-hoc-checklist:taxon:eb7400f37768e5a38463282a1acfa295,southern Europe,native range,en
ad-hoc-checklist:taxon:ec229aaed3b70bcd59d7f94760622f76,Tropical Africa,native range,en
ad-hoc-checklist:taxon:ee8cf5de4b7621cecee5bbf07496278a,Africa,native range,en
ad-hoc-checklist:taxon:f3ce196a13f1fce9d15cc2db9d440787,Central and South America,native range,en
ad-hoc-checklist:taxon:f781020a3bca39bc00443963330a85b4,Asia,native range,en
ad-hoc-checklist:taxon:f9c3ffbeb12488f4e53fd03493d4a64e,East Asia,native range,en
ad-hoc-checklist:taxon:fad46cc07ab3741607e5becc86770619,Asia,native range,en
ad-hoc-checklist:taxon:fc0756ca816f9a52f7a98d5c26dc9b1f,Mediterranean,native range,en
ad-hoc-checklist:taxon:fc0756ca816f9a52f7a98d5c26dc9b1f,Africa,native range,en
ad-hoc-checklist:taxon:fc0756ca816f9a52f7a98d5c26dc9b1f,India,native range,en
ad-hoc-checklist:taxon:fc0756ca816f9a52f7a98d5c26dc9b1f,Myanmar,native range,en
ad-hoc-checklist:taxon:fc0756ca816f9a52f7a98d5c26dc9b1f,China,native range,en
ad-hoc-checklist:taxon:fd373fcdb559cd7b0c5c6099a703533f,Africa,native range,en
ad-hoc-checklist:taxon:fdb4e2d32ff94027329a96f5df3924bc,Southeastern Europe,native range,en
ad-hoc-checklist:taxon:fde72025a042e6ed23c1302dc83114f4,Southern Europe,native range,en
