scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
Neoscona nautica C.L. Koch 1875,Animalia,Arthropoda,Arachnida,,Araneidae,Neoscona,species,ICZN,Flanders,BE,present,2001,2001,transported,stowaway_container,In container from New Orleans (USA),Asia and Pacific islands,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
Nephila,Animalia,Arthropoda,Arachnida,,Araneidae,Nephila,genus,ICZN,Flanders,BE,present,2010,2010,casual,,In private front garden,,terrestrial,"Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Nephilingys cruentata (Fabricius, 1775)",Animalia,Arthropoda,Arachnida,,Araneidae,Nephilingys,species,ICZN,Flanders,BE,present,1986,1986,casual,,In pitfall on camping site,Tropical Africa,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Nesticodes rufipes (Lucas, 1846)",Animalia,Arthropoda,Arachnida,,Theridiidae,Nesticodes,species,ICZN,Flanders,BE,present,2004,2004,transported,stowaway_container,In container with wood shipment from Hawaii,Central and South America,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
Nolavia,Animalia,Arthropoda,Arachnida,,Sparassidae,Nolavia,genus,ICZN,Flanders,BE,present,2016,2016,casual,,With egg sac (and hatched spiderlings). In banana bunch (shipment from Colombia),,terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-11,Koen Van Keer,Koen Van Keer
"Oecobius navus Blackwall, 1859",Animalia,Arthropoda,Arachnida,,Oecobiidae,Oecobius,species,ICZN,Flanders,BE,present,1985,2004,established,,probably not viable outside the protected environment of heated greenhouses or other buildings,Europe to northern Africa,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Oecobius amboseli Shear & Benoit, 1974",Animalia,Arthropoda,Arachnida,,Oecobiidae,Oecobius,species,ICZN,Flanders,BE,present,2007,2013,casual,,,"Egypt, Ethiopia, Kenya, Uganda, Rwanda",terrestrial,"Henrard, A., Van Keer, J. & Jocqué, R. (2014). On the spider species Oecobius amboseli Shear & Benoit, 1974 (Araneae; Oecobiidae) newly found in Belgium and Rwanda. Nieuwsbrief van de Belgische Arachnologische Vereniging, 29(1,2): 1-8.",rare,,,2018-08-11,Koen Van Keer,Koen Van Keer
"Olios argelasius (Walckenaer, 1806)",Animalia,Arthropoda,Arachnida,,Sparassidae,Olios,species,ICZN,Flanders,BE,present,2011,2011,casual,,"Found inside private home, put outside and found again 10 months later in shed",Mediterranean,terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-11,Koen Van Keer,Koen Van Keer
Olios,Animalia,Arthropoda,Arachnida,,Sparassidae,Olios,genus,ICZN,Flanders,BE,present,2011,2011,transported,,"Olios fuhrmanni group (det. Peter Jäger). With wrapped bananas in department store, possibly from Colombia",,terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-11,Koen Van Keer,Koen Van Keer
"Pellenes geniculatus (Simon, 1868)",Animalia,Arthropoda,Arachnida,,Salticidae,Pellenes,species,ICZN,Flanders,BE,present,2001,2001,casual,,"Private house, 2 weeks after returning from Aragonese Pyrenees","Southern Europe, Africa, Turkey, Caucasus, Near East, Iran",terrestrial,"Alderweireldt, M. 2002. Reizende Salticidae: Pellenes geniculatus (Simon, 1868) nieuw voor de Belgische fauna (Araneae, Salticidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 17(3):65-66.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
